Asset,Date,Value
Bored Ape Average Sale Price,2021-05,7.6
Bored Ape Average Sale Price,2021-06,8.88
Bored Ape Average Sale Price,2021-07,9.49
Bored Ape Average Sale Price,2021-08,11.37
Bored Ape Average Sale Price,2021-09,12.02
Bored Ape Average Sale Price,2021-10,12.04
Bored Ape Average Sale Price,2021-11,12.29
Bored Ape Average Sale Price,2021-12,12.46
Bored Ape Average Sale Price,2022-01,12.56
Bored Ape Average Sale Price,2022-02,12.65
Bored Ape Average Sale Price,2022-03,12.59
Bored Ape Average Sale Price,2022-04,12.93
Bored Ape Average Sale Price,2022-05,12.56
Bored Ape Average Sale Price,2022-06,11.78
Bored Ape Average Sale Price,2022-07,11.8
Bored Ape Average Sale Price,2022-08,11.92
Bored Ape Average Sale Price,2022-09,11.7
Bored Ape Average Sale Price,2022-10,11.63
Bitcoin Price,2021-05,10.97
Bitcoin Price,2021-06,10.51
Bitcoin Price,2021-07,10.42
Bitcoin Price,2021-08,10.6
Bitcoin Price,2021-09,10.8
Bitcoin Price,2021-10,10.78
Bitcoin Price,2021-11,11.02
Bitcoin Price,2021-12,10.95
Bitcoin Price,2022-01,10.77
Bitcoin Price,2022-02,10.56
Bitcoin Price,2022-03,10.7
Bitcoin Price,2022-04,10.74
Bitcoin Price,2022-05,10.56
Bitcoin Price,2022-06,10.3
Bitcoin Price,2022-07,9.87
Bitcoin Price,2022-08,10.06
Bitcoin Price,2022-09,9.91
Bitcoin Price,2022-10,9.87
Ethereum price,2021-05,7.93
Ethereum price,2021-06,7.9
Ethereum price,2021-07,7.73
Ethereum price,2021-08,7.84
Ethereum price,2021-09,8.14
Ethereum price,2021-10,8.01
Ethereum price,2021-11,8.36
Ethereum price,2021-12,8.44
Ethereum price,2022-01,8.21
Ethereum price,2022-02,7.9
Ethereum price,2022-03,7.98
Ethereum price,2022-04,8.1
Ethereum price,2022-05,7.91
Ethereum price,2022-06,7.57
Ethereum price,2022-07,6.97
Ethereum price,2022-08,7.43
Ethereum price,2022-09,7.35
Ethereum price,2022-10,7.19
