trait,usd_contribution,trait_category
Admirals Coat,9294887.029999997,Clothes
Bandolier,45721146.18,Clothes
Bayc T Black,35690861.06,Clothes
Bayc T Red,24998349.580000002,Clothes
Biker Vest,53811812.14999999,Clothes
Black Holes T,50601874.42,Clothes
Black Suit,10988006.16,Clothes
Black T,71977488.62,Clothes
Blue Dress,18893503.77,Clothes
Bone Necklace,45548413.19,Clothes
Bone Tee,57869903.79,Clothes
Caveman Pelt,43020608.19,Clothes
Cowboy Shirt,25683089.31,Clothes
Guayabera,51262876.28,Clothes
Hawaiian,61806034.62,Clothes
Hip Hop,27853823.259999998,Clothes
Kings Robe,23745616.349999998,Clothes
Lab Coat,23549404.16,Clothes
Leather Jacket,52456628.91,Clothes
Leather Punk Jacket,41627299.599999994,Clothes
Lumberjack Shirt,46233056.53,Clothes
Navy Striped Tee,74634935.68,Clothes
Pimp Coat,17310817.85,Clothes
Prison Jumpsuit,65708133.63,Clothes
Prom Dress,29372781.61,Clothes
Puffy Vest,48988320.79,Clothes
Rainbow Suspenders,32747550.679999996,Clothes
Sailor Shirt,66101492.95,Clothes
Service,35638220.78,Clothes
Sleeveless Logo T,32568745.34,Clothes
Sleeveless T,50654496.279999994,Clothes
Smoking Jacket,44552311.03,Clothes
Space Suit,17296549.179999996,Clothes
Striped Tee,102476430.77000001,Clothes
Stunt Jacket,41093576.00000001,Clothes
Tanktop,57804000.85,Clothes
Tie Dye,41129952.77,Clothes
Toga,52448155.919999994,Clothes
Tuxedo Tee,56808398.580000006,Clothes
Tweed Suit,24998095.64,Clothes
Vietnam Jacket,50240798.84,Clothes
Wool Turtleneck,65753127.169999994,Clothes
Work Vest,41501789.69,Clothes
3d,104486975.74,Eyes
Angry,96188803.00000001,Eyes
Blindfold,58081043.82,Eyes
Bloodshot,195804806.74999997,Eyes
Blue Beams,10273410.360000001,Eyes
Bored,375063353.28,Eyes
Closed,159232878.64000002,Eyes
Coins,121232590.63000001,Eyes
Crazy,129390755.77000001,Eyes
Cyborg,23854792.87,Eyes
Eyepatch,65479682.88,Eyes
Heart,83061231.98,Eyes
Holographic,36820073.44,Eyes
Hypnotized,42593856.21,Eyes
Laser Eyes,27787054.41,Eyes
Robot,75682285.32,Eyes
Sad,142179950.37,Eyes
Scumbag,39933678.74,Eyes
Sleepy,167096395.56,Eyes
Sunglasses,66471645.910000004,Eyes
Wide Eyed,118386209.39,Eyes
X Eyes,62970055.66,Eyes
Zombie,69671160.17,Eyes
Cross,32663479.25,Earring
Diamond Stud,40026319.989999995,Earring
Gold Hoop,95161343.26,Earring
Gold Stud,102801766.35000001,Earring
Silver Hoop,203278036.43,Earring
Silver Stud,204503620.42999998,Earring
Black,312664113.99,Fur
Blue,98576213.03999999,Fur
Brown,317929779.02,Fur
Cheetah,78696782.98,Fur
Cream,152796744.14000002,Fur
Dark Brown,300614547.38,Fur
Death Bot,35186495.410000004,Fur
Dmt,42016026.589999996,Fur
Golden Brown,184714363.95,Fur
Gray,113713235.04000002,Fur
Noise,26789593.82,Fur
Pink,111192231.41999999,Fur
Red,101557467.45,Fur
Robot,42245129.61000001,Fur
Solid Gold,26864151.119999997,Fur
Tan,146453592.39000002,Fur
Trippy,24281284.16,Fur
White,93724768.30999999,Fur
Zombie,61726171.080000006,Fur
Bored,521470243.92,Mouth
Bored Bubblegum,20483169.070000004,Mouth
Bored Cigar,23576542.359999996,Mouth
Bored Cigarette,168065695.61999997,Mouth
Bored Dagger,7973518.8100000005,Mouth
Bored Kazoo,15600559.459999999,Mouth
Bored Party Horn,18643971.33,Mouth
Bored Pipe,24014612.369999997,Mouth
Bored Pizza,6089086.23,Mouth
Bored Unshaven,364610959.17,Mouth
Bored Unshaven Bubblegum,17400768.669999998,Mouth
Bored Unshaven Cigar,23180198.91,Mouth
Bored Unshaven Cigarette,85624972.55999999,Mouth
Bored Unshaven Dagger,9127204.02,Mouth
Bored Unshaven Kazoo,12812174.670000002,Mouth
Bored Unshaven Party horn,11594526.75,Mouth
Bored Unshaven Pipe,22306373.4,Mouth
Bored Unshaven Pizza,6342078.210000001,Mouth
Discomfort,45071507.02,Mouth
Dumbfounded,113642661.19000001,Mouth
Grin,162011718.37,Mouth
Grin Diamond Grill,14790587.07,Mouth
Grin Gold Grill,18125384.540000003,Mouth
Grin Multicolored,28669232.8,Mouth
Jovial,64297056.54,Mouth
Phoneme  ooo,59199043.339999996,Mouth
Phoneme L,56799901.489999995,Mouth
Phoneme Oh,62274033.300000004,Mouth
Phoneme Vuh,89272991.01,Mouth
Phoneme Wah,36700482.24,Mouth
Rage,59286704.79,Mouth
Small Grin,59659106.0,Mouth
Tongue Out,43025625.67,Mouth
Aquamarine,297198660.92999995,Background
Army Green,285853103.09000003,Background
Blue,274521631.59,Background
Gray,271826772.34999996,Background
New Punk Blue,272561305.54,Background
Orange,293807417.94,Background
Purple,289536206.99,Background
Yellow,286437592.46999997,Background
Army Hat,71707574.19,Hat
Baby's Bonnet,35142071.25,Hat
Bandana Blue,15969398.04,Hat
Bayc Flipped Brim,35671797.49,Hat
Bayc Hat Black,45972051.04,Hat
Bayc Hat Red,25578848.1,Hat
Beanie,122437619.04,Hat
Bowler,54163234.66,Hat
Bunny Ears,35952961.1,Hat
Commie Hat,76399240.94,Hat
Cowboy Hat,83276379.88,Hat
Faux Hawk,26498983.14,Hat
Fez,95037492.83999999,Hat
Fisherman's Hat,72284571.71,Hat
Girl's Hair Pink,23784830.259999998,Hat
Girl's Hair Short,32905249.83,Hat
Halo,73823183.07000001,Hat
Horns,62012043.42,Hat
Irish Boho,63133664.67,Hat
King's Crown,21938657.81,Hat
Laurel Wreath,12261701.429999998,Hat
Party Hat 1,21491841.31,Hat
Party Hat 2,23445402.79,Hat
Police Motorcycle Helmet,31098664.51,Hat
Prussian Helmet,35162618.98,Hat
S&m Hat,52222328.010000005,Hat
Safari,38968058.56,Hat
Sea Captain's Hat,69834286.08,Hat
Seaman's Hat,96797012.66999999,Hat
Short Mohawk,79616938.36000001,Hat
Spinner Hat,47087470.23,Hat
Stuntman Helmet,38774022.08,Hat
Sushi Chef Headband,34837898.04,Hat
Trippy Captain's Hat,16713540.71,Hat
Vietnam Era Helmet,46449527.83,Hat
Ww2 Pilot Helm,22486380.69,Hat
